Item,Title,csv
gravity,Acceleration Due to Gravity,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/gravity.csv
hirose,Failure Time of PET Film,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/hirose.csv
islay,Jura Quartzite Azimuths on Islay,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/islay.csv
manaus,Average Heights of the Rio Negro river at Manaus,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/manaus.csv
melanoma,Survival from Malignant Melanoma,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/melanoma.csv
motor,Data from a Simulated Motorcycle Accident,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/motor.csv
neuro,Neurophysiological Point Process Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/neuro.csv
nitrofen,Toxicity of Nitrofen in Aquatic Systems,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/nitrofen.csv
nodal,Nodal Involvement in Prostate Cancer,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/nodal.csv
nuclear,Nuclear Power Station Construction Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/nuclear.csv
paulsen,Neurotransmission in Guinea Pig Brains,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/paulsen.csv
poisons,Animal Survival Times,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/poisons.csv
polar,Pole Positions of New Caledonian Laterites,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/polar.csv
remission,Cancer Remission and Cell Activity,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/remission.csv
salinity,Water Salinity and River Discharge,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/salinity.csv
survival,Survival of Rats after Radiation Doses,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/survival.csv
tau,Tau Particle Decay Modes,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/tau.csv
tuna,Tuna Sighting Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/tuna.csv
urine,Urine Analysis Data,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/urine.csv
wool,Australian Relative Wool Prices,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/boot/wool.csv
aids,data from Section 1.19,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/aids.csv
alloauto,data from Section 1.9,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/alloauto.csv
allograft,"data from Exercise 13.1, p418",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/allograft.csv
azt,"data from Exercise 4.7, p122",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/azt.csv
baboon,"data from Exercise 5.8, p147",https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/baboon.csv
bcdeter,data from Section 1.18,https://raw.github.com/vincentarelbundock/Rdatasets/master/csv/KMsurv/bcdeter.csv
